date, pm25, pm10, o3, no2, so2, co
2013-12-31, , 85, 20, 30, 14, 20
2014-01-01, 125, 136, 4, 44, 45, 39
2014-01-02, 218, 79, 22, 20, 15, 22
2014-01-03, 127, 109, 3, 37, 26, 32
2014-01-04, 213, 74, 16, 32, 23, 24
2014-01-05, 168, 91, 4, 33, 30, 22
2014-01-06, 204, 69, 19, 27, 21, 22
2014-01-07, 178, 17, 21, 7, 7, 11
2014-01-08, 65, 42, 22, 14, 9, 13
2014-01-09, 92, 77, 5, 33, 31, 23
2014-01-10, 160, 120, 3, 48, 47, 34
2014-01-11, 218, 36, 22, 16, 11, 12
2014-01-12, 76, 97, 6, 40, 43, 29
2014-01-13, 190, 94, 5, 38, 46, 30
2014-01-14, 190, 162, 6, 46, 47, 36
2014-01-15, 249, 340, 7, 58, 58, 47
2014-01-16, 466, 88, 14, 31, 33, 24
2014-01-17, 228, 57, 14, 32, 22, 19
2014-01-18, 134, 125, 26, 33, 40, 28
2014-01-19, 185, 30, 24, 7, 3, 11
2014-01-20, 42, 36, 18, 21, 18, 17
2014-01-21, 95, 102, 6, 44, 46, 27
2014-01-22, 211, 173, 2, 56, 66, 41
2014-01-23, 339, 103, 7, 39, 39, 26
2014-01-24, 221, 37, 26, 18, 12, 16
2014-01-25, 98, 58, 21, 18, 21, 15
2014-01-26, 122, 83, 22, 29, 33, 19
2014-01-27, 157, 54, 23, 16, 12, 15
2014-01-28, 109, 97, 9, 31, 38, 26
2014-01-29, 208, 62, 27, 16, 20, 17
2014-01-30, 126, 132, 14, 18, 38, 17
2014-01-31, 220, 95, 2, 24, 34, 22
2014-02-01, 211, 73, 29, 11, 11, 20
2014-02-02, 117, 30, 28, 4, 3, 18
2014-02-03, 31, 29, 25, 9, 10, 18
2014-02-04, 63, 74, 20, 17, 28, 18
2014-02-05, 175, 88, 17, 24, 36, 25
2014-02-06, 202, 57, 16, 18, 21, 14
2014-02-07, 175, 28, 28, 13, 12, 17
2014-02-08, 108, 9, 26, 8, 9, 
2014-02-09, 51, 18, 23, 15, 11, 18
2014-02-10, 74, 77, 13, 38, 38, 24
2014-02-11, 192, 83, 24, 35, 30, 24
2014-02-12, 205, 116, 17, 34, 44, 28
2014-02-13, 261, 186, 11, 43, 43, 36
2014-02-14, 332, 324, 12, 50, 56, 39
2014-02-15, 408, 173, 25, 39, 45, 31
2014-02-16, 322, 56, 28, 27, 37, 21
2014-02-17, 161, 54, 21, 25, 21, 12
2014-02-18, 148, 57, 24, 27, 22, 17
2014-02-19, 140, 143, 4, 37, 24, 23
2014-02-20, 302, 165, 7, 45, 39, 33
2014-02-21, 378, 170, 7, 43, 53, 35
2014-02-22, 387, 154, 9, 39, 69, 39
2014-02-23, 338, 216, 4, 61, 71, 49
2014-02-24, 398, 301, 3, 64, 50, 58
2014-02-25, 462, 262, 14, 63, 44, 29
2014-02-26, 421, 23, 32, 10, 5, 10
2014-02-27, 67, 65, 17, 30, 20, 16
2014-02-28, 169, 61, 31, 26, 16, 21
2014-03-01, 142, 111, 16, 41, 37, 29
2014-03-02, 208, 155, 4, 44, 57, 46
2014-03-03, 295, 55, 30, 16, 13, 24
2014-03-04, 95, 28, 26, 19, 8, 11
2014-03-05, 78, 22, 30, 11, 5, 18
2014-03-06, 62, 55, 25, 21, 12, 16
2014-03-07, 131, 118, 15, 43, 40, 26
2014-03-08, 227, 90, 27, 34, 25, 21
2014-03-09, 188, 80, 18, 33, 30, 22
2014-03-10, 173, 125, 35, 41, 42, 30
2014-03-11, 253, 20, 41, 12, 3, 18
2014-03-12, 61, 47, 36, 19, 6, 12
2014-03-13, 73, 56, 37, 15, 6, 17
2014-03-14, 72, 109, 26, 48, 25, 16
2014-03-15, 180, 113, 42, 36, 44, 31
2014-03-16, 188, 141, 30, 28, 14, 20
2014-03-17, 145, 79, 37, 19, 8, 13
2014-03-18, 106, 67, 34, 24, 10, 12
2014-03-19, 134, 26, 36, 9, 2, 9
2014-03-20, 42, 45, 40, 20, 6, 16
2014-03-21, 78, 86, 43, 28, 9, 13
2014-03-22, 131, 111, 74, 36, 24, 19
2014-03-23, 207, 141, 47, 50, 30, 23
2014-03-24, 293, 136, 72, 53, 24, 21
2014-03-25, 278, 189, 63, 60, 29, 23
2014-03-26, 354, 196, 6, 61, 20, 29
2014-03-27, 321, 108, 39, 33, 14, 21
2014-03-28, 207, 68, 43, 15, 3, 16
2014-03-29, 103, 59, 43, 21, 3, 10
2014-03-30, 93, 117, 39, 34, 18, 22
2014-03-31, 206, 84, 57, 32, 8, 9
2014-04-01, 201, 107, 65, 27, 13, 14
2014-04-02, 178, 61, 41, 19, 4, 
2014-04-03, 78, 91, 44, 20, 5, 11
2014-04-04, 95, 67, 44, 14, 4, 
2014-04-05, 75, 96, 47, 29, 6, 12
2014-04-06, 138, 108, 77, 26, 11, 16
2014-04-07, 169, 139, 93, 39, 21, 20
2014-04-08, 221, 134, 46, 24, 12, 14
2014-04-09, 205, 275, 27, 21, 16, 18
2014-04-10, 171, 79, 40, 24, 11, 15
